athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.43,s,Georgia Tech Yellow Jacket Invitational,2022-03-18,Final,,0.4,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,64.65,s,Georgia Tech Yellow Jacket Invitational,2022-03-18,Final,12,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,62.07,s,Georgia Tech Yellow Jacket Invitational,2022-03-18,Final,3,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit
Courtney Williams,Clemson,ACC,400m,2022,SO,,,53.99,s,Georgia Tech Yellow Jacket Invitational,2022-03-18,Final,1,,Outdoor,https://api.tfrrs.org/athletes/7746088/Clemson/Courtney_Williams.html,verified 2022 outdoor result; multi-source working audit
Trishauna Hemmings,Clemson,ACC,400m,2022,SR,,,56.65,s,Georgia Tech Yellow Jacket Invitational,2022-03-18,Final,10,,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.69,s,2022 94th Clyde Littlefield Texas Relays,2022-03-23,Prelim,,1.1,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,63.22,s,2022 94th Clyde Littlefield Texas Relays,2022-03-23,Prelim,26,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.82,s,Florida Relays,2022-03-31,Final,,-0.8,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.67,s,Florida Relays,2022-03-31,Final,5,-0.4,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,62.76,s,Florida Relays,2022-03-31,Final,35,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit
Nicolee Foster,Clemson,ACC,400H,2022,SR,,,61.26,s,Florida Relays,2022-03-31,Final,30,,Outdoor,https://tf.tfrrs.org/athletes/7490019/Clemson/Nicolee_Foster.html,verified 2022 outdoor result; multi-source working audit
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,62.40,s,Florida Relays,2022-03-31,Final,34,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit
Courtney Williams,Clemson,ACC,400m,2022,SO,,,54.26,s,Florida Relays,2022-03-31,Final,7,,Outdoor,https://api.tfrrs.org/athletes/7746088/Clemson/Courtney_Williams.html,verified 2022 outdoor result; multi-source working audit
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.47,s,Tennessee Relays,2022-04-07,Final,,1.4,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.24,s,Tennessee Relays,2022-04-07,Final,1,1.4,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,65.08,s,Tennessee Relays,2022-04-07,Final,4,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit
Nicolee Foster,Clemson,ACC,400H,2022,SR,,,66.21,s,Tennessee Relays,2022-04-07,Final,6,,Outdoor,https://tf.tfrrs.org/athletes/7490019/Clemson/Nicolee_Foster.html,verified 2022 outdoor result; multi-source working audit
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,65.56,s,Tennessee Relays,2022-04-07,Final,7,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.63,s,UF Tom Jones Memorial,2022-04-15,Final,,1.5,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.19,s,UF Tom Jones Memorial,2022-04-15,Prelim,8,1.5,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,62.01,s,UF Tom Jones Memorial,2022-04-15,Final,19,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit
Nicolee Foster,Clemson,ACC,400H,2022,SR,,,60.35,s,UF Tom Jones Memorial,2022-04-15,Final,13,,Outdoor,https://tf.tfrrs.org/athletes/7490019/Clemson/Nicolee_Foster.html,verified 2022 outdoor result; multi-source working audit
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,62.80,s,UF Tom Jones Memorial,2022-04-15,Final,24,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.27,s,UF Tom Jones Memorial,2022-04-16,Final,8,1.9,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit
