athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Taylor, Annaleise",Oregon,Big Ten,400H,2025,FR-1,,,58.50,seconds,2025 Desert Heat Classic,2025-05-03,,,,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Taylor, Annaleise",Oregon,Big Ten,400H,2025,FR-1,,,59.38,seconds,Battle at the Beach,2025-04-04,,,,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Taylor, Annaleise",Oregon,Big Ten,400H,2025,FR-1,,,59.59,seconds,Big Ten Outdoor Track & Field Championships,2025-05-16,,,,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Taylor, Annaleise",Oregon,Big Ten,400H,2025,FR-1,,,59.93,seconds,2025 Oregon Open,2025-04-18,,4,,Outdoor,https://www.tfrrs.org/results/89548/5573602/2025_Oregon_Open/400-Hurdles,verified_meet_result
"Taylor, Annaleise",Oregon,Big Ten,400H,2025,FR-1,,,1:00.11,time,Big Ten Outdoor Track & Field Championships,2025-05-16,Final,6,,Outdoor,https://www.tfrrs.org/results/92594/5664514/Big_Ten_Outdoor_Track__Field_Championships/400-Hurdles,verified_meet_result
"Kannon, Madyson",Oregon,Big Ten,400H,2025,SO-2,,,1:07.11,time,2025 Oregon Open,2025-04-18,,,,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Williams, Annika",Oregon,Big Ten,Long Jump,2025,SR-4,,,6.06,m,2025 Desert Heat Classic,2025-05-03,,,3.1,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Ganashamoorthy, Hannah",Oregon,Big Ten,Long Jump,2025,JR-3,,,6.03,m,2025 Desert Heat Classic,2025-05-03,,,3.7,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Williams, Annika",Oregon,Big Ten,Long Jump,2025,SR-4,,,6.00,m,Big Ten Outdoor Track & Field Championships,2025-05-16,,,-0.1,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Porter, Ryann",Oregon,Big Ten,Long Jump,2025,SR-4,,,5.98,m,2025 Desert Heat Classic,2025-05-03,,,1.1,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Atkins, Cassandra",Oregon,Big Ten,Long Jump,2025,FR-1,,,5.95,m,Big Ten Outdoor Track & Field Championships,2025-05-16,,,0.5,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Ganashamoorthy, Hannah",Oregon,Big Ten,Long Jump,2025,JR-3,,,5.92,m,2025 Desert Heat Classic,2025-05-03,,,2.7,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Ganashamoorthy, Hannah",Oregon,Big Ten,Long Jump,2025,JR-3,,,5.86,m,Battle at the Beach,2025-04-04,,,0.5,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Ganashamoorthy, Hannah",Oregon,Big Ten,Long Jump,2025,JR-3,,,5.82,m,Battle at the Beach,2025-04-04,,,0.6,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Porter, Ryann",Oregon,Big Ten,Long Jump,2025,SR-4,,,5.81,m,Big Ten Outdoor Track & Field Championships,2025-05-16,,,-0.1,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Williams, Annika",Oregon,Big Ten,Long Jump,2025,SR-4,,,5.75,m,Big Ten Outdoor Track & Field Championships,2025-05-16,,,-0.3,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Atkins, Cassandra",Oregon,Big Ten,Long Jump,2025,FR-1,,,5.75,m,2025 Oregon Team Invite,2025-04-18,,,1.4,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Porter, Ryann",Oregon,Big Ten,Long Jump,2025,SR-4,,,5.73,m,2025 Desert Heat Classic,2025-05-03,,,2.1,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Ganashamoorthy, Hannah",Oregon,Big Ten,Long Jump,2025,JR-3,,,5.71,m,2025 Oregon Preview,2025-03-21,,,0.1,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
"Atkins, Cassandra",Oregon,Big Ten,Long Jump,2025,FR-1,,,5.69,m,Big Ten Outdoor Track & Field Championships,2025-05-16,,,0.9,Outdoor,https://www.tfrrs.org/all_performances/OR_college_f_Oregon.html?list_hnd=5027&season_hnd=681,verified_available
