athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Thomas, Markeeta",Clemson,ACC,100H,2017,SO-2,,,13.72,s,Charlotte 49er Classic,2017-03-16,,,-1.0,Outdoor,https://www.tfrrs.org/results/49797/3035913/Charlotte_49er_Classic/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,100H,2017,SO-2,,,14.03,s,Charlotte 49er Classic,2017-03-16,,,0.8,Outdoor,https://www.tfrrs.org/results/49797/3035913/Charlotte_49er_Classic/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,14.81,s,Charlotte 49er Classic,2017-03-16,,,-0.1,Outdoor,https://www.tfrrs.org/results/49797/3035913/Charlotte_49er_Classic/100-Hurdles,TFRRS all_performances
"Farrow, Ersula",Clemson,ACC,400m,2017,SO-2,,,56.52,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"Maydew, Dana",Clemson,ACC,400m,2017,JR-3,,,59.54,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"McGowan, Imani",Clemson,ACC,400m,2017,SO-2,,,58.50,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400m,2017,SO-2,,,56.94,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400m,2017,FR-1,,,55.75,s,Charlotte 49er Classic,2017-03-16,,,,Outdoor,https://www.tfrrs.org/results/49797/3035904/Charlotte_49er_Classic/400-Meters,TFRRS all_performances
"Johnson, Valerie",Clemson,ACC,Long Jump,2017,SO-2,,,5.60,m,Charlotte 49er Classic,2017-03-16,,,1.3,Outdoor,https://www.tfrrs.org/results/49797/3035894/Charlotte_49er_Classic/Long-Jump,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.80,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,1.7,Outdoor,https://www.tfrrs.org/results/46899/3053302/Miami_Hurricane_Collegiate_Invitational/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,59.96,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,,Outdoor,https://www.tfrrs.org/results/46899/3053280/Miami_Hurricane_Collegiate_Invitational/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,1:00.39,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,,Outdoor,https://www.tfrrs.org/results/46899/3053280/Miami_Hurricane_Collegiate_Invitational/400-Hurdles,TFRRS all_performances
"George, Malayshia",Clemson,ACC,400m,2017,JR-3,,,54.40,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,,Outdoor,https://www.tfrrs.org/results/46899/3053270/Miami_Hurricane_Collegiate_Invitational/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.29,s,Miami Hurricane Collegiate Invitational,2017-03-25,,,,Outdoor,https://www.tfrrs.org/results/46899/3053270/Miami_Hurricane_Collegiate_Invitational/400-Meters,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,5.70,m,Miami Hurricane Collegiate Invitational,2017-03-25,,,-0.8,Outdoor,https://www.tfrrs.org/results/46899/3053282/Miami_Hurricane_Collegiate_Invitational/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,1:00.61,s,2017 90th Clyde Littlefield Texas Relays,2017-03-29,,,,Outdoor,https://www.tfrrs.org/results/48669/3075236/2017_90th_Clyde_Littlefield_Texas_Relays/400-Hurdles,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,6.08,m,2017 90th Clyde Littlefield Texas Relays,2017-03-29,,,1.1,Outdoor,https://www.tfrrs.org/results/48669/3075296/2017_90th_Clyde_Littlefield_Texas_Relays/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,60.61,s,Texas Relays,2017-03-30,Prelim,,,Outdoor,https://www.tfrrs.org/athletes/5640837/Clemson/Markeeta_Thomas,legacy_source_needs_review
"Thomas, Markeeta",Clemson,ACC,100H,2017,SO-2,,,13.79,s,Spec Towns Invitational,2017-04-07,,,1.3,Outdoor,https://www.tfrrs.org/results/50860/3101799/Spec_Towns_Invitational/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.46,s,Spec Towns Invitational,2017-04-07,,,1.3,Outdoor,https://www.tfrrs.org/results/50860/3101799/Spec_Towns_Invitational/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,59.88,s,Spec Towns Invitational,2017-04-07,,,,Outdoor,https://www.tfrrs.org/results/50860/3101774/Spec_Towns_Invitational/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,58.83,s,Spec Towns Invitational,2017-04-07,,,,Outdoor,https://www.tfrrs.org/results/50860/3101774/Spec_Towns_Invitational/400-Hurdles,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.52,s,Spec Towns Invitational,2017-04-07,,,,Outdoor,https://www.tfrrs.org/results/50860/3101797/Spec_Towns_Invitational/400-Meters,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2017,SR-4,,,5.86,m,Spec Towns Invitational,2017-04-07,,,2.0,Outdoor,https://www.tfrrs.org/results/50860/3101809/Spec_Towns_Invitational/Long-Jump,TFRRS all_performances
"Johnson, Valerie",Clemson,ACC,Long Jump,2017,SO-2,,,5.35,m,Spec Towns Invitational,2017-04-07,,,0.1,Outdoor,https://www.tfrrs.org/results/50860/3101809/Spec_Towns_Invitational/Long-Jump,TFRRS all_performances
"Terrell, Anasterasia",Clemson,ACC,Long Jump,2017,SR-4,,,5.63,m,Spec Towns Invitational,2017-04-07,,,1.3,Outdoor,https://www.tfrrs.org/results/50860/3101809/Spec_Towns_Invitational/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,59.23,s,LSU Alumni Gold,2017-04-22,,,,Outdoor,https://www.tfrrs.org/results/47400/3140899/LSU_Alumni_Gold/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,1:00.26,s,LSU Alumni Gold,2017-04-22,,,,Outdoor,https://www.tfrrs.org/results/47400/3140899/LSU_Alumni_Gold/400-Hurdles,TFRRS all_performances
"George, Malayshia",Clemson,ACC,400m,2017,JR-3,,,54.08,s,LSU Alumni Gold,2017-04-22,,,,Outdoor,https://www.tfrrs.org/results/47400/3140932/LSU_Alumni_Gold/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.58,s,LSU Alumni Gold,2017-04-22,,,,Outdoor,https://www.tfrrs.org/results/47400/3140932/LSU_Alumni_Gold/400-Meters,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,5.93,m,LSU Alumni Gold,2017-04-22,,,0.5,Outdoor,https://www.tfrrs.org/results/47400/3140935/LSU_Alumni_Gold/Long-Jump,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.63,s,Penn Relays,2017-04-27,,,0.1,Outdoor,https://www.tfrrs.org/results/51632/3163704/Penn_Relays/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.70,s,Penn Relays,2017-04-27,,,-0.8,Outdoor,https://www.tfrrs.org/results/51632/3163731/Penn_Relays/100-Hurdles,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2017,SR-4,,,6.10,m,Penn Relays,2017-04-27,,,2.0,Outdoor,https://www.tfrrs.org/results/51632/3163734/Penn_Relays/Long-Jump,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.46,s,ACC Outdoor Track & Field Championships,2017-05-12,,,0.1,Outdoor,https://www.tfrrs.org/results/51674/3191837/ACC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.63,s,ACC Outdoor Track & Field Championships,2017-05-12,,,0.4,Outdoor,https://www.tfrrs.org/results/51674/3191837/ACC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,57.36,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191814/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,58.15,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191814/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,58.36,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191814/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,59.51,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191814/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"George, Malayshia",Clemson,ACC,400m,2017,JR-3,,,54.75,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191835/ACC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,52.56,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191835/ACC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.29,s,ACC Outdoor Track & Field Championships,2017-05-12,,,,Outdoor,https://www.tfrrs.org/results/51674/3191835/ACC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2017,SR-4,,,6.06,m,ACC Outdoor Track & Field Championships,2017-05-12,,,0.9,Outdoor,https://www.tfrrs.org/results/51674/3191847/ACC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,6.16,m,ACC Outdoor Track & Field Championships,2017-05-12,,,1.1,Outdoor,https://www.tfrrs.org/results/51674/3191847/ACC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.49,s,NCAA Division I East Preliminary Round,2017-05-25,,,0.2,Outdoor,https://www.tfrrs.org/results/51920/3197609/NCAA_Division_I_East_Preliminary_Round/100-Hurdles,TFRRS all_performances
"Williams, Ebony",Clemson,ACC,100H,2017,SO-2,,,13.53,s,NCAA Division I East Preliminary Round,2017-05-25,,,-0.2,Outdoor,https://www.tfrrs.org/results/51920/3197609/NCAA_Division_I_East_Preliminary_Round/100-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,57.53,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197593/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,57.99,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197593/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,58.74,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197593/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"Warner, Lakeisha",Clemson,ACC,400H,2017,FR-1,,,59.55,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197593/NCAA_Division_I_East_Preliminary_Round/400-Hurdles,TFRRS all_performances
"George, Malayshia",Clemson,ACC,400m,2017,JR-3,,,54.77,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197608/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.15,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197608/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2017,SR-4,,,53.93,s,NCAA Division I East Preliminary Round,2017-05-25,,,,Outdoor,https://www.tfrrs.org/results/51920/3197608/NCAA_Division_I_East_Preliminary_Round/400-Meters,TFRRS all_performances
"Collins, Angelica",Clemson,ACC,Long Jump,2017,JR-3,,,5.84,m,NCAA Division I East Preliminary Round,2017-05-25,,,0.4,Outdoor,https://www.tfrrs.org/results/51920/3197604/NCAA_Division_I_East_Preliminary_Round/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,59.25,s,NCAA Division I Outdoor Track & Field Championships,2017-06-07,,,,Outdoor,https://www.tfrrs.org/results/51935/3199097/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2017,SO-2,,,58.41,s,USATF Outdoor Championships,2017-06-22,Prelim,,,Outdoor,https://www.tfrrs.org/athletes/5640837/Clemson/Markeeta_Thomas,legacy_source_needs_review
