athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Allie Jones,Stanford,ACC,100H,2019,FR,,,14.42,s,Hornet Invitational,2019-03-16,Final,8,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2019,SR,,,15.02,s,Hornet Invitational,2019-03-16,Final,13,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,100H,2019,FR,,,14.48,s,Stanford Invitational,2019-03-29,Prelim,18,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2019,SR,,,14.56,s,Stanford Invitational,2019-03-29,Prelim,19,wind-aided,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,400H,2019,SR,,,63.14,s,Stanford Invitational,2019-03-29,Final,14,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,Long Jump,2019,FR,,,5.45,m,Stanford Invitational,2019-03-29,Collegiate,7,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Carolyn Wilson,Stanford,ACC,400m,2019,SO,,,55.84,s,Stanford Invitational,2019-03-30,Final,11,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Missy Mongiovi,Stanford,ACC,400m,2019,SR,,,56.50,s,Stanford Invitational,2019-03-30,Final,19,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Sarah Walker,Stanford,ACC,400m,2019,JR,,,56.11,s,Stanford Invitational,2019-03-30,Final,15,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,100H,2019,FR,,,14.06,s,Big Meet,2019-04-06,Final,2,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2019,SR,,,14.49,s,Big Meet,2019-04-06,Final,3,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,400H,2019,SR,,,63.14,s,Big Meet,2019-04-06,Final,1,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,Long Jump,2019,FR,,,5.54,m,Big Meet,2019-04-06,Final,4,wind-aided,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Aria Small,Stanford,ACC,Long Jump,2019,,,,6.00,m,Big Meet,2019-04-06,Final,1,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,100H,2019,FR,,,14.46,s,Bryan Clay Invitational,2019-04-17,Heptathlon,,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,Long Jump,2019,FR,,,5.67,m,Bryan Clay Invitational,2019-04-18,Heptathlon,,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,400H,2019,SR,,,61.76,s,Cardinal Classic,2019-04-19,Final,3,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2019,SR,,,14.35,s,Cardinal Classic,2019-04-20,Final,3,wind-aided,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Carolyn Wilson,Stanford,ACC,400m,2019,SO,,,54.90,s,Cardinal Classic,2019-04-20,Final,2,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Missy Mongiovi,Stanford,ACC,400m,2019,SR,,,55.98,s,Cardinal Classic,2019-04-20,Final,4,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2019,SR,,,14.27,s,National Relays,2019-04-26,Final,16,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,400H,2019,SR,,,62.19,s,National Relays,2019-04-26,Final,11,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2019,SR,,,14.52,s,Payton Jordan Invitational,2019-05-02,Final,1,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,100H,2019,FR,,,14.15,s,Pac-12 Multis,2019-05-04,Heptathlon,,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,Long Jump,2019,FR,,,5.11,m,Pac-12 Multis,2019-05-05,Heptathlon,,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,100H,2019,FR,,,14.44,s,Pac-12 Championships,2019-05-11,Prelim,20,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,100H,2019,SR,,,13.96,s,Pac-12 Championships,2019-05-11,Prelim,16,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Hannah Labrie-Smith,Stanford,ACC,400H,2019,SR,,,60.44,s,Pac-12 Championships,2019-05-12,Final,13,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
Allie Jones,Stanford,ACC,Long Jump,2019,FR,,,5.12,m,Pac-12 Championships,2019-05-12,Final,29,,Outdoor,https://sidearm.nextgen.sites.s3.us-east-2.amazonaws.com/gostanford.com/documents/2019/6/18/2019_results.pdf,"audited from Stanford official 2019 season results; Stanford was Pac-12 in 2019, grouped under ACC for project"
