athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Cha'Mia Rothwell,Duke,ACC,100H,2021,,,,13.09,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Halle Bieber,Duke,ACC,100H,2021,,,,14.31,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Isabel Wakefield,Duke,ACC,100H,2021,,,,13.80,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Zoe Hughes,Duke,ACC,100H,2021,,,,14.04,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Danielle Okonta,Duke,ACC,400H,2021,,,,65.11,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Lauren Hoffman,Duke,ACC,400H,2021,,,,58.72,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Nikki Merritt,Duke,ACC,400H,2021,,,,61.73,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Danielle Okonta,Duke,ACC,400m,2021,,,,58.49,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Iman Sule,Duke,ACC,400m,2021,,,,54.15,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Jenna Crean,Duke,ACC,400m,2021,,,,55.28,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
Lauren Hoffman,Duke,ACC,400m,2021,,,,56.96,s,Raleigh Relays,2021-03-25,,,,Outdoor,https://s3.us-east-2.amazonaws.com/sidearm.nextgen.sites/goduke.com/documents/2022/1/27/2021_22TFXCMediaGuide.pdf,verified Duke official 2021 outdoor results; class year left blank unless separately verified
