athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Romain, Madison",Stanford,ACC,100H,2023,FR-1,,,15.65,s,Cardinal Classic,2023-03-18,,,0.4,Outdoor,https://www.tfrrs.org/results/77088/4735141/Cardinal_Classic/100-Hurdles,TFRRS all_performances
"Romain, Madison",Stanford,ACC,400H,2023,FR-1,,,1:07.68,s,Cardinal Classic,2023-03-18,,,,Outdoor,https://www.tfrrs.org/results/77088/4735142/Cardinal_Classic/400-Hurdles,TFRRS all_performances
"Thomas, Samantha",Stanford,ACC,400H,2023,JR-3,,,1:00.22,s,Cardinal Classic,2023-03-18,,,,Outdoor,https://www.tfrrs.org/results/77088/4735142/Cardinal_Classic/400-Hurdles,TFRRS all_performances
"Peisner, Camille",Stanford,ACC,400m,2023,SO-2,,,57.45,s,Cardinal Classic,2023-03-18,,,,Outdoor,https://www.tfrrs.org/results/77088/4735160/Cardinal_Classic/400-Meters,TFRRS all_performances
"Tovkach, Anna",Stanford,ACC,400m,2023,SR-4,,,55.92,s,Cardinal Classic,2023-03-18,,,,Outdoor,https://www.tfrrs.org/results/77088/4735160/Cardinal_Classic/400-Meters,TFRRS all_performances
"Wilson, Hannah",Stanford,ACC,400m,2023,SO-2,,,1:01.88,s,Cardinal Classic,2023-03-18,,,,Outdoor,https://www.tfrrs.org/results/77088/4735160/Cardinal_Classic/400-Meters,TFRRS all_performances
"Wright, Cydney",Stanford,ACC,400m,2023,FR-1,,,53.63,s,Cardinal Classic,2023-03-18,,,,Outdoor,https://www.tfrrs.org/results/77088/4735160/Cardinal_Classic/400-Meters,TFRRS all_performances
"Oakes, Alaysia",Stanford,ACC,Long Jump,2023,FR-1,,,5.76,m,Cardinal Classic,2023-03-18,,,1.0,Outdoor,https://www.tfrrs.org/results/77088/4735174/Cardinal_Classic/Long-Jump,TFRRS all_performances
"Miller, Elise",Stanford,ACC,100H,2023,SO-2,,,14.30,s,Stanford Invitational,2023-03-31,,,1.7,Outdoor,https://www.tfrrs.org/results/77089/4767538/Stanford_Invitational/100-Hurdles,TFRRS all_performances
"Romain, Madison",Stanford,ACC,100H,2023,FR-1,,,15.60,s,Stanford Invitational,2023-03-31,,,0.9,Outdoor,https://www.tfrrs.org/results/77089/4767538/Stanford_Invitational/100-Hurdles,TFRRS all_performances
"Thomas, Samantha",Stanford,ACC,400H,2023,JR-3,,,1:01.67,s,Stanford Invitational,2023-03-31,,,,Outdoor,https://www.tfrrs.org/results/77089/4767520/Stanford_Invitational/400-Hurdles,TFRRS all_performances
"James, Taylor",Stanford,ACC,400m,2023,FR-1,,,56.41,s,Stanford Invitational,2023-03-31,,,,Outdoor,https://www.tfrrs.org/results/77089/4767561/Stanford_Invitational/400-Meters,TFRRS all_performances
