athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Welsing, Melanie",Florida,SEC,100H,2024,SR-4,,,14.50,seconds,FSU Relays,2024-03-21,,,-0.6,Outdoor,https://www.tfrrs.org/results/84936/5126530/FSU_Relays/100-Hurdles,TFRRS all_performances
"Alix, India",Florida,SEC,Long Jump,2024,FR-1,,,5.77,m,FSU Relays,2024-03-21,,,1.3,Outdoor,https://www.tfrrs.org/results/84936/5126537/FSU_Relays/Long-Jump,TFRRS all_performances
"Brown, Kendall",Florida,SEC,Long Jump,2024,FR-1,,,5.72,m,FSU Relays,2024-03-21,,,1.2,Outdoor,https://www.tfrrs.org/results/84936/5126537/FSU_Relays/Long-Jump,TFRRS all_performances
"Charlton, Anthaya",Florida,SEC,Long Jump,2024,SO-2,,,6.38,m,FSU Relays,2024-03-21,,,0.4,Outdoor,https://www.tfrrs.org/results/84936/5126537/FSU_Relays/Long-Jump,TFRRS all_performances
"Welsing, Melanie",Florida,SEC,Long Jump,2024,SR-4,,,5.57,m,FSU Relays,2024-03-21,,,2.0,Outdoor,https://www.tfrrs.org/results/84936/5126537/FSU_Relays/Long-Jump,TFRRS all_performances
"Hollis, Jayla",Florida,SEC,100H,2024,SR-4,,,13.31,seconds,Pepsi Florida Relays,2024-03-29,,,1.5,Outdoor,https://www.tfrrs.org/results/83593/5148557/Pepsi_Florida_Relays/100-Hurdles,TFRRS all_performances
"Hollis, Jayla",Florida,SEC,100H,2024,SR-4,,,13.32,seconds,Pepsi Florida Relays,2024-03-29,,,1.5,Outdoor,https://www.tfrrs.org/results/83593/5148557/Pepsi_Florida_Relays/100-Hurdles,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2024,SR-4,,,12.70,seconds,Pepsi Florida Relays,2024-03-29,,,1.5,Outdoor,https://www.tfrrs.org/results/83593/5148557/Pepsi_Florida_Relays/100-Hurdles,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2024,SR-4,,,12.78,seconds,Pepsi Florida Relays,2024-03-29,,,1.4,Outdoor,https://www.tfrrs.org/results/83593/5148557/Pepsi_Florida_Relays/100-Hurdles,TFRRS all_performances
"Welsing, Melanie",Florida,SEC,100H,2024,SR-4,,,14.12,seconds,Pepsi Florida Relays,2024-03-29,,,0.3,Outdoor,https://www.tfrrs.org/results/83593/5148557/Pepsi_Florida_Relays/100-Hurdles,TFRRS all_performances
"Alix, India",Florida,SEC,Long Jump,2024,FR-1,,,5.71,m,Pepsi Florida Relays,2024-03-29,,,0.7,Outdoor,https://www.tfrrs.org/results/83593/5148539/Pepsi_Florida_Relays/Long-Jump,TFRRS all_performances
"Brown, Kendall",Florida,SEC,Long Jump,2024,FR-1,,,6.18,m,Pepsi Florida Relays,2024-03-29,,,1.4,Outdoor,https://www.tfrrs.org/results/83593/5148539/Pepsi_Florida_Relays/Long-Jump,TFRRS all_performances
"Welsing, Melanie",Florida,SEC,100H,2024,SR-4,,,14.01,seconds,Hurricane Alumni Invitational,2024-04-05,,,-0.1,Outdoor,https://www.tfrrs.org/results/85657/5225113/Hurricane_Alumni_Invitational/100-Hurdles,TFRRS all_performances
"Welsing, Melanie",Florida,SEC,Long Jump,2024,SR-4,,,5.34,m,Hurricane Alumni Invitational,2024-04-05,,,-1.8,Outdoor,https://www.tfrrs.org/results/85657/5225117/Hurricane_Alumni_Invitational/Long-Jump,TFRRS all_performances
"Hollis, Jayla",Florida,SEC,100H,2024,SR-4,,,13.37,seconds,Tom Jones Memorial Invitational,2024-04-12,,,0.4,Outdoor,https://www.tfrrs.org/results/85961/5199024/Tom_Jones_Memorial_Invitational/100-Hurdles,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2024,SR-4,,,12.56,seconds,Tom Jones Memorial Invitational,2024-04-12,,,1.1,Outdoor,https://www.tfrrs.org/results/85961/5199024/Tom_Jones_Memorial_Invitational/100-Hurdles,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2024,SR-4,,,12.71,seconds,Tom Jones Memorial Invitational,2024-04-12,,,0.9,Outdoor,https://www.tfrrs.org/results/85961/5199024/Tom_Jones_Memorial_Invitational/100-Hurdles,TFRRS all_performances
"Alix, India",Florida,SEC,Long Jump,2024,FR-1,,,5.46,m,Tom Jones Memorial Invitational,2024-04-12,,,-0.3,Outdoor,https://www.tfrrs.org/results/85961/5198998/Tom_Jones_Memorial_Invitational/Long-Jump,TFRRS all_performances
"Brown, Kendall",Florida,SEC,Long Jump,2024,FR-1,,,5.30,m,Tom Jones Memorial Invitational,2024-04-12,,,0.7,Outdoor,https://www.tfrrs.org/results/85961/5198998/Tom_Jones_Memorial_Invitational/Long-Jump,TFRRS all_performances
"Bryant, Claire",Florida,SEC,Long Jump,2024,SR-4,,,6.34,m,Tom Jones Memorial Invitational,2024-04-12,,,-3.1,Outdoor,https://www.tfrrs.org/results/85961/5198983/Tom_Jones_Memorial_Invitational/Long-Jump,TFRRS all_performances
"Charlton, Anthaya",Florida,SEC,Long Jump,2024,SO-2,,,6.60,m,Tom Jones Memorial Invitational,2024-04-12,,,-2.3,Outdoor,https://www.tfrrs.org/results/85961/5198983/Tom_Jones_Memorial_Invitational/Long-Jump,TFRRS all_performances
"Hollis, Jayla",Florida,SEC,100H,2024,SR-4,,,12.97,seconds,LSU Invitational,2024-04-27,,,1.8,Outdoor,https://www.tfrrs.org/results/84133/5240890/LSU_Invitational/100-Hurdles,TFRRS all_performances
"Welsing, Melanie",Florida,SEC,100H,2024,SR-4,,,14.12,seconds,LSU Invitational,2024-04-27,,,1.8,Outdoor,https://www.tfrrs.org/results/84133/5240890/LSU_Invitational/100-Hurdles,TFRRS all_performances
"Brown, Kendall",Florida,SEC,Long Jump,2024,FR-1,,,5.64,m,LSU Invitational,2024-04-27,,,1.3,Outdoor,https://www.tfrrs.org/results/84133/5240896/LSU_Invitational/Long-Jump,TFRRS all_performances
"Bryant, Claire",Florida,SEC,Long Jump,2024,SR-4,,,6.29,m,LSU Invitational,2024-04-27,,,0.9,Outdoor,https://www.tfrrs.org/results/84133/5240896/LSU_Invitational/Long-Jump,TFRRS all_performances
"Charlton, Anthaya",Florida,SEC,Long Jump,2024,SO-2,,,6.74,meters,LSU Invitational,2024-04-27,Final,1,4.4,Outdoor,https://www.tfrrs.org/athletes/8679347/Florida/Anthaya_Charlton,legacy_source_needs_review
"Stark, Grace",Florida,SEC,100H,2024,SR-4,,,12.47,seconds,NCAA Division I Outdoor Track & Field Championships,2024-05-05,,,-0.5,Outdoor,https://www.tfrrs.org/results/87017/5286191/NCAA_Division_I_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Bryant, Claire",Florida,SEC,Long Jump,2024,SR-4,,,6.74,m,NCAA Division I Outdoor Track & Field Championships,2024-05-05,,,0.6,Outdoor,https://www.tfrrs.org/results/87017/5286183/NCAA_Division_I_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Charlton, Anthaya",Florida,SEC,Long Jump,2024,SO-2,,,6.59,m,NCAA Division I Outdoor Track & Field Championships,2024-05-05,,,0.8,Outdoor,https://www.tfrrs.org/results/87017/5286183/NCAA_Division_I_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2024,SR-4,,,12.53,seconds,SEC Outdoor Track & Field Championships,2024-05-09,,,0.8,Outdoor,https://www.tfrrs.org/results/85812/5273720/SEC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Watson, Vanessa",Florida,SEC,400H,2024,SR-4,,,1:00.27,seconds,SEC Outdoor Track & Field Championships,2024-05-09,,,,Outdoor,https://www.tfrrs.org/results/85812/5272054/SEC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Brown, Kendall",Florida,SEC,Long Jump,2024,FR-1,,,5.49,m,SEC Outdoor Track & Field Championships,2024-05-09,,,+0.0,Outdoor,https://www.tfrrs.org/results/85812/5273708/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Bryant, Claire",Florida,SEC,Long Jump,2024,SR-4,,,6.72,m,SEC Outdoor Track & Field Championships,2024-05-09,,,1.5,Outdoor,https://www.tfrrs.org/results/85812/5273708/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Charlton, Anthaya",Florida,SEC,Long Jump,2024,SO-2,,,6.59,m,SEC Outdoor Track & Field Championships,2024-05-09,,,+0.0,Outdoor,https://www.tfrrs.org/results/85812/5273708/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Hollis, Jayla",Florida,SEC,100H,2024,SR-4,,,13.12,seconds,SEC Outdoor Track & Field Championships,2024-05-10,Prelim,10,4.4,Outdoor,https://www.tfrrs.org/athletes/8364542/Florida/Jayla_Hollis.html,legacy_source_needs_review
"Stark, Grace",Florida,SEC,100H,2024,SR-4,,,12.67,seconds,SEC Outdoor Track & Field Championships,2024-05-10,Prelim,2,4.4,Outdoor,https://www.tfrrs.org/athletes/7533304/Florida/Grace_Stark.html,legacy_source_needs_review
"Hollis, Jayla",Florida,SEC,100H,2024,SR-4,,,46.10,seconds,NCAA East First Round,2024-05-22,,,0.5,Outdoor,https://www.tfrrs.org/results/86997/5284582/NCAA_East_First_Round/100-Hurdles,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2024,SR-4,,,12.55,seconds,NCAA East First Round,2024-05-22,,,1.4,Outdoor,https://www.tfrrs.org/results/86997/5284582/NCAA_East_First_Round/100-Hurdles,TFRRS all_performances
