athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Micaiah Ransby,Georgia,SEC,400m,2017,FR,,,54.56,seconds,Yellow Jacket Invitational,2017-03-18,Final,2,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Micaiah Ransby,Georgia,SEC,400m,2017,FR,,,54.57,seconds,Spec Towns Invitational,2017-04-08,Final,2,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Micaiah Ransby,Georgia,SEC,400m,2017,FR,,,54.09,seconds,Torrin Lawrence Memorial,2017-05-06,Final,2,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Micaiah Ransby,Georgia,SEC,400m,2017,FR,,,54.81,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,20,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Catherine Reid,Georgia,SEC,400m,2017,FR,,,55.36,seconds,Yellow Jacket Invitational,2017-03-18,Final,4,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Catherine Reid,Georgia,SEC,400m,2017,FR,,,54.91,seconds,Spec Towns Invitational,2017-04-08,Final,3,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Catherine Reid,Georgia,SEC,400m,2017,FR,,,54.71,seconds,Gamecock Invitational,2017-04-15,Final,7,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Catherine Reid,Georgia,SEC,400m,2017,FR,,,54.34,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,18,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Sarah Gardner,Georgia,SEC,400m,2017,SR,,,59.93,seconds,Spec Towns Invitational,2017-04-08,Final,9,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Devon Artis,Georgia,SEC,400m,2017,JR,,,55.46,seconds,Gamecock Invitational,2017-04-15,Final,12,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Kendell Williams,Georgia,SEC,100H,2017,SR,,,13.17,seconds,Bulldog Decathlon/Heptathlon,2017-04-08,Heptathlon,1,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Kendell Williams,Georgia,SEC,100H,2017,SR,,,13.36,seconds,Virginia Challenge,2017-04-21,Final,2,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Kendell Williams,Georgia,SEC,100H,2017,SR,,,13.07,seconds,Torrin Lawrence Memorial,2017-05-06,Final,1,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Kendell Williams,Georgia,SEC,100H,2017,SR,,,12.90,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,1,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Kendell Williams,Georgia,SEC,100H,2017,SR,,,12.92,seconds,SEC Outdoor Track & Field Championships,2017-05-13,Final,2,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Kendell Williams,Georgia,SEC,100H,2017,SR,,,13.02,seconds,NCAA Division I Outdoor Track & Field Championships,2017-06-09,Heptathlon,,,Outdoor,https://georgiadogs.com/documents/download/2018/8/3/2017_OutdoorRecap.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Louisa Grauvogel,Georgia,SEC,100H,2017,FR,,,13.63,seconds,Bulldog Decathlon/Heptathlon,2017-04-08,Heptathlon,2,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Louisa Grauvogel,Georgia,SEC,100H,2017,FR,,,13.96,seconds,Virginia Challenge,2017-04-21,Final,12,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Louisa Grauvogel,Georgia,SEC,100H,2017,FR,,,13.50,seconds,Torrin Lawrence Memorial,2017-05-06,Final,3,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Louisa Grauvogel,Georgia,SEC,100H,2017,FR,,,13.55,seconds,SEC Outdoor Track & Field Championships,2017-05-11,Heptathlon,4,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Aliyah Johnson,Georgia,SEC,100H,2017,JR,,,13.97,seconds,Bulldog Decathlon/Heptathlon,2017-04-08,Heptathlon,3,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Makenzi Kopp,Georgia,SEC,100H,2017,FR,,,15.15,seconds,Bulldog Decathlon/Heptathlon,2017-04-08,Heptathlon,5,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Mary Terry,Georgia,SEC,100H,2017,SO,,,15.36,seconds,Bulldog Decathlon/Heptathlon,2017-04-08,Heptathlon,6,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Amber Tanner,Georgia,SEC,100H,2017,FR,,,DNF,seconds,Bulldog Decathlon/Heptathlon,2017-04-08,Heptathlon,,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Chelsea Zoller,Georgia,SEC,400H,2017,FR,,,1:02.40,seconds,Yellow Jacket Invitational,2017-03-18,Final,3,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Chelsea Zoller,Georgia,SEC,400H,2017,FR,,,1:01.64,seconds,Spec Towns Invitational,2017-04-08,Final,5,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Chelsea Zoller,Georgia,SEC,400H,2017,FR,,,1:01.66,seconds,Gamecock Invitational,2017-04-15,Final,9,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Chelsea Zoller,Georgia,SEC,400H,2017,FR,,,1:02.13,seconds,Torrin Lawrence Memorial,2017-05-06,Final,2,,Outdoor,https://georgiadogs.com/documents/download/2017/5/31/2017_Women_Outdoor_Results.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
