athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Beasley, Dahlia",Kentucky,SEC,100H,2026,SO-2,,,15.26,seconds,UCF Black & Gold Challenge,2026-03-20,,,0.8,Outdoor,https://www.tfrrs.org/results/92770/5856936/UCF_Black__Gold_Challenge/100-Hurdles,TFRRS all_performances
"Bentley, Camden",Kentucky,SEC,100H,2026,JR-3,,,13.10,seconds,UCF Black & Gold Challenge,2026-03-20,,,1.8,Outdoor,https://www.tfrrs.org/results/92770/5856936/UCF_Black__Gold_Challenge/100-Hurdles,TFRRS all_performances
"Bentley, Camden",Kentucky,SEC,100H,2026,JR-3,,,13.23,seconds,UCF Black & Gold Challenge,2026-03-20,,,1.9,Outdoor,https://www.tfrrs.org/results/92770/5856936/UCF_Black__Gold_Challenge/100-Hurdles,TFRRS all_performances
"Gunnell, Julia",Kentucky,SEC,100H,2026,JR-3,,,14.14,seconds,UCF Black & Gold Challenge,2026-03-20,,,1.0,Outdoor,https://www.tfrrs.org/results/92770/5856936/UCF_Black__Gold_Challenge/100-Hurdles,TFRRS all_performances
"Omulisia, Rukia Nusra",Kentucky,SEC,100H,2026,SO-2,,,13.25,seconds,UCF Black & Gold Challenge,2026-03-20,,,1.9,Outdoor,https://www.tfrrs.org/results/92770/5856936/UCF_Black__Gold_Challenge/100-Hurdles,TFRRS all_performances
"Omulisia, Rukia Nusra",Kentucky,SEC,100H,2026,SO-2,,,13.64,seconds,UCF Black & Gold Challenge,2026-03-20,,,1.8,Outdoor,https://www.tfrrs.org/results/92770/5856936/UCF_Black__Gold_Challenge/100-Hurdles,TFRRS all_performances
"Hoo, Kahalia",Kentucky,SEC,400H,2026,FR-1,,,1:01.97,seconds,UCF Black & Gold Challenge,2026-03-20,,,,Outdoor,https://www.tfrrs.org/results/92770/5856957/UCF_Black__Gold_Challenge/400-Hurdles,TFRRS all_performances
"Hoo, Kashia",Kentucky,SEC,400H,2026,FR-1,,,1:00.31,seconds,UCF Black & Gold Challenge,2026-03-20,,,,Outdoor,https://www.tfrrs.org/results/92770/5856957/UCF_Black__Gold_Challenge/400-Hurdles,TFRRS all_performances
"Washington, Alene",Kentucky,SEC,400H,2026,FR-1,,,1:02.33,seconds,UCF Black & Gold Challenge,2026-03-20,,,,Outdoor,https://www.tfrrs.org/results/92770/5856957/UCF_Black__Gold_Challenge/400-Hurdles,TFRRS all_performances
"Davis, Tressia",Kentucky,SEC,400m,2026,FR-1,,,56.27,seconds,UCF Black & Gold Challenge,2026-03-20,,,,Outdoor,https://www.tfrrs.org/results/92770/5856947/UCF_Black__Gold_Challenge/400-Meters,TFRRS all_performances
"McClellan, JahQueen",Kentucky,SEC,400m,2026,JR-3,,,54.02,seconds,UCF Black & Gold Challenge,2026-03-20,,,,Outdoor,https://www.tfrrs.org/results/92770/5856947/UCF_Black__Gold_Challenge/400-Meters,TFRRS all_performances
"Reynolds, Skyler",Kentucky,SEC,Long Jump,2026,SR-4,,,5.77,m,UCF Black & Gold Challenge,2026-03-20,,,2.7,Outdoor,https://www.tfrrs.org/results/92770/5856930/UCF_Black__Gold_Challenge/Long-Jump,TFRRS all_performances
"Reynolds, Skyler",Kentucky,SEC,Long Jump,2026,SR-4,,,5.94,m,Bellarmine Univ. Jim Vargo Invitational 2026,2026-03-28,,,0.1,Outdoor,https://www.tfrrs.org/results/95042/5876033/Bellarmine_Univ_Jim_Vargo_Invitational_2026/Long-Jump,TFRRS all_performances
"Beasley, Dahlia",Kentucky,SEC,100H,2026,SO-2,,,14.75,seconds,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01,,,2.6,Outdoor,https://www.tfrrs.org/results/94985/5911888/2026_98th_Clyde_Littlefield_Texas_Relays_Univ_College/100-Hurdles,TFRRS all_performances
"Bentley, Camden",Kentucky,SEC,100H,2026,JR-3,,,13.12,seconds,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01,,,-0.7,Outdoor,https://www.tfrrs.org/results/94985/5911812/2026_98th_Clyde_Littlefield_Texas_Relays_Univ_College/100-Hurdles,TFRRS all_performances
"Bentley, Camden",Kentucky,SEC,100H,2026,JR-3,,,13.14,seconds,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01,,,0.4,Outdoor,https://www.tfrrs.org/results/94985/5911812/2026_98th_Clyde_Littlefield_Texas_Relays_Univ_College/100-Hurdles,TFRRS all_performances
"Gunnell, Julia",Kentucky,SEC,100H,2026,JR-3,,,13.84,seconds,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01,,,3.0,Outdoor,https://www.tfrrs.org/results/94985/5911888/2026_98th_Clyde_Littlefield_Texas_Relays_Univ_College/100-Hurdles,TFRRS all_performances
"Omulisia, Rukia Nusra",Kentucky,SEC,100H,2026,SO-2,,,13.13,seconds,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01,,,0.4,Outdoor,https://www.tfrrs.org/results/94985/5911812/2026_98th_Clyde_Littlefield_Texas_Relays_Univ_College/100-Hurdles,TFRRS all_performances
"Omulisia, Rukia Nusra",Kentucky,SEC,100H,2026,SO-2,,,13.18,seconds,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01,,,1.8,Outdoor,https://www.tfrrs.org/results/94985/5911812/2026_98th_Clyde_Littlefield_Texas_Relays_Univ_College/100-Hurdles,TFRRS all_performances
"Scales, Emmi",Kentucky,SEC,100H,2026,JR-3,,,12.75,seconds,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01,,,1.3,Outdoor,https://www.tfrrs.org/results/94985/5911812/2026_98th_Clyde_Littlefield_Texas_Relays_Univ_College/100-Hurdles,TFRRS all_performances
"Scales, Emmi",Kentucky,SEC,100H,2026,JR-3,,,12.82,seconds,2026 98th Clyde Littlefield Texas Relays (Univ/College),2026-04-01,,,0.4,Outdoor,https://www.tfrrs.org/results/94985/5911812/2026_98th_Clyde_Littlefield_Texas_Relays_Univ_College/100-Hurdles,TFRRS all_performances
