athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Elena Kelety,South Carolina,SEC,400H,2023,FR,,,58.19,seconds,Island Relays Bahamas,2023-03-17,Final,3,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2023/03/d84e335a-2023-outdoor-progressions.pdf,Verified against indexed 2023 athlete/official South Carolina results
Aalliyah Francis,South Carolina,SEC,400m,2023,SO,,,53.29,seconds,Island Relays Bahamas,2023-03-17,Final,3,,Outdoor,https://tfrrs.org/athletes/8328617/South_Carolina/Aalliyah_Francis,Verified against indexed 2023 athlete/official South Carolina results
Alysia Johnson,South Carolina,SEC,400m,2023,JR,,,54.99,seconds,Island Relays Bahamas,2023-03-17,Final,6,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2023/03/d84e335a-2023-outdoor-progressions.pdf,Verified against indexed 2023 athlete/official South Carolina results
Jahnile Registre,South Carolina,SEC,400m,2023,SO,,,53.28,seconds,Island Relays Bahamas,2023-03-17,Final,2,,Outdoor,https://www.tfrrs.org/athletes/7986820/South_Carolina/Jahnile__Registre.html,Verified against indexed 2023 athlete/official South Carolina results
Elena Kelety,South Carolina,SEC,400H,2023,FR,,,58.71,seconds,Weems Baskin Relays 2023,2023-03-25,Final,2,,Outdoor,https://www.tfrrs.org/athletes/8331375/South_Carolina/Elena_Kelety.html,Verified against indexed 2023 athlete/official South Carolina results
Jahnile Registre,South Carolina,SEC,400m,2023,SO,,,53.68,seconds,Pepsi Florida Relays,2023-04-01,Final,13,,Outdoor,https://www.tfrrs.org/athletes/7986820/South_Carolina/Jahnile__Registre.html,Verified against indexed 2023 athlete/official South Carolina results
Elena Kelety,South Carolina,SEC,400H,2023,FR,,,59.12,seconds,UF Tom Jones Memorial,2023-04-15,Final,26,,Outdoor,https://www.tfrrs.org/athletes/8331375/South_Carolina/Elena_Kelety.html,Verified against indexed 2023 athlete/official South Carolina results
Angel Frank,South Carolina,SEC,400m,2023,JR,,,53.34,seconds,UF Tom Jones Memorial,2023-04-15,Final,26,,Outdoor,https://www.tfrrs.org/athletes/7497312/South_Carolina/Angel_Frank.html,Verified against indexed 2023 athlete/official South Carolina results
Jahnile Registre,South Carolina,SEC,400m,2023,SO,,,52.91,seconds,UF Tom Jones Memorial,2023-04-15,Final,20,,Outdoor,https://www.tfrrs.org/athletes/7986820/South_Carolina/Jahnile__Registre.html,Verified against indexed 2023 athlete/official South Carolina results
Elena Kelety,South Carolina,SEC,400H,2023,FR,,,58.28,seconds,USC Open Outdoor 2023,2023-04-22,Final,2,,Outdoor,https://www.tfrrs.org/athletes/8331375/South_Carolina/Elena_Kelety.html,Verified against indexed 2023 athlete/official South Carolina results
Aalliyah Francis,South Carolina,SEC,400m,2023,SO,,,53.26,seconds,USC Open Outdoor 2023,2023-04-22,Final,5,,Outdoor,https://tfrrs.org/athletes/8328617/South_Carolina/Aalliyah_Francis,Verified against indexed 2023 athlete/official South Carolina results
Angel Frank,South Carolina,SEC,400m,2023,JR,,,54.28,seconds,USC Open Outdoor 2023,2023-04-22,Final,8,,Outdoor,https://www.tfrrs.org/athletes/7497312/South_Carolina/Angel_Frank.html,Verified against indexed 2023 athlete/official South Carolina results
Jahnile Registre,South Carolina,SEC,400m,2023,SO,,,52.86,seconds,USC Open Outdoor 2023,2023-04-22,Final,3,,Outdoor,https://www.tfrrs.org/athletes/7986820/South_Carolina/Jahnile__Registre.html,Verified against indexed 2023 athlete/official South Carolina results
Elena Kelety,South Carolina,SEC,400H,2023,FR,,,58.92,seconds,Penn Relays,2023-04-28,Final,,,Outdoor,https://www.tfrrs.org/athletes/8331375/South_Carolina/Elena_Kelety.html,Verified against indexed 2023 athlete/official South Carolina results
Elena Kelety,South Carolina,SEC,400H,2023,FR,,,58.19,seconds,SEC Outdoor Championships,2023-05-11,Prelim,14,,Outdoor,https://gamecocksonline.com/news/2023/05/12/amaral-snatches-bronze-in-opening-day-of-sec-outdoor-championships/,Verified against indexed 2023 athlete/official South Carolina results
Aalliyah Francis,South Carolina,SEC,400m,2023,SO,,,53.73,seconds,SEC Outdoor Championships,2023-05-12,Prelim,23,,Outdoor,https://gamecocksonline.com/news/2023/05/12/gamecocks-advance-to-four-finals-in-day-two-of-the-sec-championship/,Verified against indexed 2023 athlete/official South Carolina results
Angel Frank,South Carolina,SEC,400m,2023,JR,,,53.87,seconds,SEC Outdoor Championships,2023-05-12,Prelim,25,,Outdoor,https://gamecocksonline.com/news/2023/05/12/gamecocks-advance-to-four-finals-in-day-two-of-the-sec-championship/,Verified against indexed 2023 athlete/official South Carolina results
Jahnile Registre,South Carolina,SEC,400m,2023,SO,,,53.55,seconds,SEC Outdoor Championships,2023-05-12,Prelim,21,,Outdoor,https://gamecocksonline.com/news/2023/05/12/gamecocks-advance-to-four-finals-in-day-two-of-the-sec-championship/,Verified against indexed 2023 athlete/official South Carolina results
Elena Kelety,South Carolina,SEC,400H,2023,FR,,,58.59,seconds,NCAA East Preliminary Round,2023-05-25,First Round,24,,Outdoor,https://gamecocksonline.com/news/2023/05/25/quartet-of-gamecock-women-advance-to-saturdays-quarterfinals/,Verified against indexed 2023 athlete/official South Carolina results
Elena Kelety,South Carolina,SEC,400H,2023,FR,,,58.98,seconds,NCAA East Preliminary Round,2023-05-27,Quarterfinal,19,,Outdoor,https://gamecocksonline.com/news/2023/05/27/pair-of-gamecock-runners-advance-to-ncaa-championship/,Verified against indexed 2023 athlete/official South Carolina results
